submission_id,QUD,RT,age,comments,condition,correct,education,endTime,experiment_id,gender,languages,option1,option2,question,response,startDate,startTime,timeSpent,trial_name,trial_number,type,vignette
1232,,4768,20,,none,true,Graduated High School,1606658679151,42,female,german,FALSE,TRUE,"William Shakespeare was an English poet, playwright and actor, regarded as the greatest writer in the English language.",TRUE,Sun Nov 29 2020 15:01:36 GMT+0100 (Mitteleuropäische Normalzeit),1606658496481,3.0445,practice_trials,1,practice,undefined
1232,,2602,20,,none,false,Graduated High School,1606658679151,42,female,german,FALSE,TRUE,World War II was a global war that lasted from 1914 to 1918.,FALSE,Sun Nov 29 2020 15:01:36 GMT+0100 (Mitteleuropäische Normalzeit),1606658496481,3.0445,practice_trials,2,practice,undefined
1232,,4734,20,,none,true,Graduated High School,1606658679151,42,female,german,FALSE,TRUE,Normally there are 32 teeth in the adult human body.,TRUE,Sun Nov 29 2020 15:01:36 GMT+0100 (Mitteleuropäische Normalzeit),1606658496481,3.0445,practice_trials,3,practice,undefined
1232,,2062,20,,none,false,Graduated High School,1606658679151,42,female,german,FALSE,TRUE,Spain is a country in Asia.,FALSE,Sun Nov 29 2020 15:01:36 GMT+0100 (Mitteleuropäische Normalzeit),1606658496481,3.0445,practice_trials,4,practice,undefined
1232,,4010,20,,none,true,Graduated High School,1606658679151,42,female,german,FALSE,TRUE,Alexander Bell invented the telephone.,TRUE,Sun Nov 29 2020 15:01:36 GMT+0100 (Mitteleuropäische Normalzeit),1606658496481,3.0445,practice_trials,5,practice,undefined
1232,,3720,20,,none,true,Graduated High School,1606658679151,42,female,german,FALSE,TRUE,The Republic of South Africa is located in the continent of Africa.,TRUE,Sun Nov 29 2020 15:01:36 GMT+0100 (Mitteleuropäische Normalzeit),1606658496481,3.0445,main_trials,1,filler,none
1232,,4086,20,,none,false,Graduated High School,1606658679151,42,female,german,FALSE,TRUE,Elvis Presley is one of the most popular musicians in this decade.,FALSE,Sun Nov 29 2020 15:01:36 GMT+0100 (Mitteleuropäische Normalzeit),1606658496481,3.0445,main_trials,2,filler,none
1232,,16519,20,,0,false,Graduated High School,1606658679151,42,female,german,FALSE,TRUE,The Pope’s wife is a lawyer.,TRUE,Sun Nov 29 2020 15:01:36 GMT+0100 (Mitteleuropäische Normalzeit),1606658496481,3.0445,main_trials,3,main,3
1232,,9623,20,,none,true,Graduated High School,1606658679151,42,female,german,FALSE,TRUE,The Sahara desert in Africa is the largest desert in the world.,TRUE,Sun Nov 29 2020 15:01:36 GMT+0100 (Mitteleuropäische Normalzeit),1606658496481,3.0445,main_trials,4,filler,none
1232,,4845,20,,none,true,Graduated High School,1606658679151,42,female,german,FALSE,TRUE,The Grand Canyon in Arizona (USA) is the largest canyon in the world.,TRUE,Sun Nov 29 2020 15:01:36 GMT+0100 (Mitteleuropäische Normalzeit),1606658496481,3.0445,main_trials,5,filler,none
1232,,1877,20,,none,true,Graduated High School,1606658679151,42,female,german,FALSE,TRUE,Mount Everest is the highest mountain on Earth.,TRUE,Sun Nov 29 2020 15:01:36 GMT+0100 (Mitteleuropäische Normalzeit),1606658496481,3.0445,main_trials,6,filler,none
1232,,10454,20,,9,false,Graduated High School,1606658679151,42,female,german,FALSE,TRUE,"The Belgian rainforest, it is not the favorite nature spot of Donald Trump.",TRUE,Sun Nov 29 2020 15:01:36 GMT+0100 (Mitteleuropäische Normalzeit),1606658496481,3.0445,main_trials,7,main,4
1232,,4209,20,,none,true,Graduated High School,1606658679151,42,female,german,FALSE,TRUE,"Egypt is famous for the pyramids, the pharaohs and the Nile River.",TRUE,Sun Nov 29 2020 15:01:36 GMT+0100 (Mitteleuropäische Normalzeit),1606658496481,3.0445,main_trials,8,filler,none
1232,,5685,20,,10,false,Graduated High School,1606658679151,42,female,german,FALSE,TRUE,"Leipzig, it is not threatened by the volcanoes of Germany.",TRUE,Sun Nov 29 2020 15:01:36 GMT+0100 (Mitteleuropäische Normalzeit),1606658496481,3.0445,main_trials,9,main,5
1232,,10530,20,,none,true,Graduated High School,1606658679151,42,female,german,FALSE,TRUE,Earth is the third planet from the sun.,TRUE,Sun Nov 29 2020 15:01:36 GMT+0100 (Mitteleuropäische Normalzeit),1606658496481,3.0445,main_trials,10,filler,none
1232,,2660,20,,none,true,Graduated High School,1606658679151,42,female,german,FALSE,TRUE,The Pope is currently not married.,TRUE,Sun Nov 29 2020 15:01:36 GMT+0100 (Mitteleuropäische Normalzeit),1606658496481,3.0445,main_trials,11,special,3
1232,,4927,20,,none,true,Graduated High School,1606658679151,42,female,german,FALSE,TRUE,The United Nations (UN) is an intergovernmental organization tasked to promote international cooperation and to create and maintain international order.,TRUE,Sun Nov 29 2020 15:01:36 GMT+0100 (Mitteleuropäische Normalzeit),1606658496481,3.0445,main_trials,12,filler,none
1232,,3682,20,,6,false,Graduated High School,1606658679151,42,female,german,FALSE,TRUE,The Emperor of Canada isn’t fond of sushi.,TRUE,Sun Nov 29 2020 15:01:36 GMT+0100 (Mitteleuropäische Normalzeit),1606658496481,3.0445,main_trials,13,main,2
